Date,Open,High,Low,Close,Adj Close,Volume
2019-04-30,94.489998,95.080002,93.800003,94.650002,94.650002,2824600
2019-05-01,95.010002,97.199997,94.739998,94.860001,94.860001,4264300
2019-05-02,95.250000,96.330002,93.889999,94.400002,94.400002,3609500
2019-05-03,93.699997,93.879997,90.699997,92.500000,92.500000,6385800
2019-05-06,91.099998,93.989998,90.519997,93.760002,93.760002,4413700
2019-05-07,93.110001,93.400002,91.830002,92.730003,92.730003,7090900
2019-05-08,99.110001,99.570000,92.180000,93.879997,93.879997,17468500
2019-05-09,92.519997,94.239998,92.199997,93.320000,93.320000,5159100
2019-05-10,93.029999,94.160004,91.010002,93.879997,93.879997,3979100
2019-05-13,92.010002,93.120003,89.910004,90.419998,90.419998,3685400
2019-05-14,90.919998,95.519997,90.750000,94.570000,94.570000,5769300
2019-05-15,93.800003,98.320000,93.660004,96.769997,96.769997,4694700
2019-05-16,96.739998,99.050003,96.110001,99.000000,99.000000,3728600
2019-05-17,98.260002,98.949997,96.650002,97.260002,97.260002,3031500
2019-05-20,95.440002,96.000000,92.309998,92.690002,92.690002,3842900
2019-05-21,93.400002,96.250000,93.250000,95.650002,95.650002,3958200
2019-05-22,94.839996,95.599998,93.629997,93.839996,93.839996,1831200
2019-05-23,93.339996,94.739998,91.360001,92.110001,92.110001,3072500
2019-05-24,92.669998,93.309998,91.489998,92.269997,92.269997,2262600
2019-05-28,92.980003,94.209999,92.639999,93.500000,93.500000,2729300
2019-05-29,92.760002,93.809998,91.809998,92.550003,92.550003,1889400
2019-05-30,92.739998,93.040001,91.500000,92.129997,92.129997,2513500
2019-05-31,90.900002,93.279999,90.889999,93.080002,93.080002,2818700
2019-06-03,93.290001,94.239998,90.779999,91.309998,91.309998,3405400
2019-06-04,91.589996,94.209999,90.190002,94.129997,94.129997,2833500
2019-06-05,93.690002,95.989998,93.690002,95.250000,95.250000,2584000
2019-06-06,95.959999,97.379997,95.059998,96.389999,96.389999,2654200
2019-06-07,97.000000,98.690002,96.570000,96.989998,96.989998,2021500
2019-06-10,98.000000,98.129997,94.050003,95.510002,95.510002,2503200
2019-06-11,96.379997,96.500000,94.250000,94.580002,94.580002,2097800
2019-06-12,94.800003,94.959999,91.720001,92.669998,92.669998,2579200
2019-06-13,92.919998,94.339996,92.410004,93.570000,93.570000,2526800
2019-06-14,93.559998,93.790001,90.459999,92.730003,92.730003,3297400
2019-06-17,92.620003,93.510002,92.000000,92.440002,92.440002,2431900
2019-06-18,93.480003,95.300003,91.940002,92.029999,92.029999,3955900
2019-06-19,92.389999,93.180000,91.320000,92.580002,92.580002,2795300
2019-06-20,93.750000,94.889999,93.070000,93.190002,93.190002,2578300
2019-06-21,92.980003,95.980003,91.400002,95.330002,95.330002,6237400
2019-06-24,95.660004,99.559998,95.230003,99.000000,99.000000,5066800
2019-06-25,98.769997,99.110001,96.080002,96.900002,96.900002,3364000
2019-06-26,97.510002,98.040001,95.620003,97.320000,97.320000,2827100
2019-06-27,97.669998,99.680000,96.849998,99.139999,99.139999,2907700
2019-06-28,100.739998,101.449997,99.230003,101.260002,101.260002,5185200
2019-07-01,102.650002,102.879997,99.820000,100.889999,100.889999,3447500
2019-07-02,101.760002,103.589996,100.790001,102.720001,102.720001,3934200
2019-07-03,103.000000,103.190002,97.589996,98.110001,98.110001,4659700
2019-07-05,97.769997,97.830002,91.349998,93.599998,93.599998,11794100
2019-07-08,93.440002,93.629997,91.419998,93.440002,93.440002,4512600
2019-07-09,92.500000,92.699997,90.540001,92.050003,92.050003,4747000
2019-07-10,92.160004,94.139999,91.639999,93.959999,93.959999,4561600
2019-07-11,93.790001,94.849998,92.570000,93.489998,93.489998,3320700
2019-07-12,93.680000,93.970001,92.349998,92.820000,92.820000,2657600
2019-07-15,92.750000,93.010002,91.830002,92.220001,92.220001,2816900
2019-07-16,92.309998,92.410004,88.430000,89.550003,89.550003,6090200
2019-07-17,89.750000,90.849998,89.309998,89.699997,89.699997,3097400
2019-07-18,88.900002,89.470001,88.019997,89.190002,89.190002,4105700
2019-07-19,89.349998,89.410004,87.470001,87.500000,87.500000,3676400
2019-07-22,88.019997,89.129997,87.510002,88.139999,88.139999,3200000
2019-07-23,88.879997,89.139999,87.709999,88.220001,88.220001,2428900
2019-07-24,88.040001,89.940002,88.000000,89.779999,89.779999,2137100
2019-07-25,88.449997,89.769997,87.879997,89.160004,89.160004,2891200
2019-07-26,89.500000,90.489998,89.279999,89.510002,89.510002,2281400
2019-07-29,89.410004,89.790001,86.949997,88.870003,88.870003,5140000
