Date,Open,High,Low,Close,Adj Close,Volume
2019-04-30,203.059998,203.399994,199.110001,200.669998,199.900192,46534900
2019-05-01,209.880005,215.309998,209.229996,210.520004,209.712402,64827300
2019-05-02,209.839996,212.649994,208.130005,209.149994,208.347656,31996300
2019-05-03,210.889999,211.839996,210.229996,211.750000,210.937683,20892400
2019-05-06,204.289993,208.839996,203.500000,208.479996,207.680222,32443100
2019-05-07,205.880005,207.419998,200.830002,202.860001,202.081787,38763700
2019-05-08,201.899994,205.339996,201.750000,202.899994,202.121628,26339500
2019-05-09,200.399994,201.679993,196.660004,200.720001,199.949997,34908600
2019-05-10,197.419998,198.850006,192.770004,197.179993,197.179993,41208700
2019-05-13,187.710007,189.479996,182.850006,185.720001,185.720001,57430600
2019-05-14,186.410004,189.699997,185.410004,188.660004,188.660004,36529700
2019-05-15,186.270004,191.750000,186.020004,190.919998,190.919998,26544700
2019-05-16,189.910004,192.470001,188.839996,190.080002,190.080002,33031400
2019-05-17,186.929993,190.899994,186.759995,189.000000,189.000000,32879100
2019-05-20,183.520004,184.350006,180.279999,183.089996,183.089996,38612300
2019-05-21,185.220001,188.000000,184.699997,186.600006,186.600006,28364800
2019-05-22,184.660004,185.710007,182.550003,182.779999,182.779999,29748600
2019-05-23,179.800003,180.539993,177.809998,179.660004,179.660004,36529700
2019-05-24,180.199997,182.139999,178.619995,178.970001,178.970001,23714700
2019-05-28,178.919998,180.589996,177.910004,178.229996,178.229996,27948200
2019-05-29,176.419998,179.350006,176.000000,177.380005,177.380005,28481200
2019-05-30,177.949997,179.229996,176.669998,178.300003,178.300003,21218400
2019-05-31,176.229996,177.990005,174.990005,175.070007,175.070007,27043600
2019-06-03,175.600006,177.919998,170.270004,173.300003,173.300003,40396100
2019-06-04,175.440002,179.830002,174.520004,179.639999,179.639999,30968000
2019-06-05,184.279999,184.990005,181.139999,182.539993,182.539993,29773400
2019-06-06,183.080002,185.470001,182.149994,185.220001,185.220001,22526300
2019-06-07,186.509995,191.919998,185.770004,190.149994,190.149994,30684400
2019-06-10,191.809998,195.369995,191.619995,192.580002,192.580002,26220900
2019-06-11,194.860001,196.000000,193.600006,194.809998,194.809998,26932900
2019-06-12,193.949997,195.970001,193.389999,194.190002,194.190002,18253200
2019-06-13,194.699997,196.789993,193.600006,194.149994,194.149994,21674600
2019-06-14,191.550003,193.589996,190.300003,192.740005,192.740005,18761500
2019-06-17,192.899994,194.960007,192.169998,193.889999,193.889999,14669100
2019-06-18,196.050003,200.289993,195.210007,198.449997,198.449997,26551000
2019-06-19,199.679993,199.880005,197.309998,197.869995,197.869995,21124200
2019-06-20,200.369995,200.610001,198.029999,199.460007,199.460007,21514000
2019-06-21,198.800003,200.850006,198.149994,198.779999,198.779999,47800600
2019-06-24,198.539993,200.160004,198.169998,198.580002,198.580002,18220400
2019-06-25,198.429993,199.259995,195.289993,195.570007,195.570007,21070300
2019-06-26,197.770004,200.990005,197.350006,199.800003,199.800003,26067500
2019-06-27,200.289993,201.570007,199.570007,199.740005,199.740005,20899700
2019-06-28,198.679993,199.500000,197.050003,197.919998,197.919998,31110600
2019-07-01,203.169998,204.490005,200.649994,201.550003,201.550003,27316700
2019-07-02,201.410004,203.130005,201.360001,202.729996,202.729996,16935200
2019-07-03,203.279999,204.440002,202.690002,204.410004,204.410004,11362000
2019-07-05,203.350006,205.080002,202.899994,204.229996,204.229996,17265500
2019-07-08,200.809998,201.399994,198.410004,200.020004,200.020004,25338600
2019-07-09,199.199997,201.509995,198.809998,201.240005,201.240005,20578000
2019-07-10,201.850006,203.729996,201.559998,203.229996,203.229996,17897100
2019-07-11,203.309998,204.389999,201.710007,201.750000,201.750000,20191800
2019-07-12,202.449997,204.000000,202.199997,203.300003,203.300003,17595200
2019-07-15,204.089996,205.869995,204.000000,205.210007,205.210007,16947400
2019-07-16,204.589996,206.110001,203.500000,204.500000,204.500000,16866800
2019-07-17,204.050003,205.089996,203.270004,203.350006,203.350006,14107500
2019-07-18,204.000000,205.880005,203.699997,205.660004,205.660004,18582200
2019-07-19,205.789993,206.500000,202.360001,202.589996,202.589996,20929300
2019-07-22,203.649994,207.229996,203.610001,207.220001,207.220001,22277900
2019-07-23,208.460007,208.910004,207.289993,208.839996,208.839996,18355200
2019-07-24,207.669998,209.149994,207.169998,208.669998,208.669998,14991600
2019-07-25,208.889999,209.240005,206.729996,207.020004,207.020004,13909600
2019-07-26,207.479996,209.729996,207.139999,207.740005,207.740005,17618900
2019-07-29,208.460007,210.639999,208.440002,209.679993,209.679993,21560600
